"Id";"Canal";"Publicação";"Workspace";"Template";"Etapa";"Veiculação";"Situação"
"3721913";"";"Entrevista Dalbosco com Alan | Consumo de cada etapa";"Marketing (MKT)";"Post Único: Feed";"Publicação";"13/05/2026 08:00";"Não publicado"
"3721915";"";"Sênior Sistemas";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Concluída";"14/05/2026 08:00";"Não publicado"
"3839113";"";"3 pilares da cultura";"Marketing (MKT)";"Post Único: Story, Reel, Short, TikTok";"Publicação";"14/05/2026 08:00";"Não publicado"
"3897204";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Análise";"14/05/2026 08:00";"Não publicado"
"3897205";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Análise";"14/05/2026 08:00";"Não publicado"
"3721918";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"15/05/2026 08:00";"Não publicado"
"3721917";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"15/05/2026 08:00";"Não publicado"
"3721906";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"18/05/2026 08:00";"Não publicado"
"3721905";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"18/05/2026 08:00";"Não publicado"
"3721908";"";"Roteiro Conteúdo (Simples)";"Marketing (MKT)";"Roteiro Conteúdo (Simples)";"Redação";"20/05/2026 08:00";"Não publicado"
"3721907";"";"Post Único: Feed";"Marketing (MKT)";"Post Único: Feed";"Redação";"20/05/2026 08:00";"Não publicado"
